,0
30, 이호중 책임연구원은 .이에 따라 한국 자동차 산업의 .국내.역외 생산 후 수출. 중심 패러다임은 변화가 불가피해졌으며 정책 당국은 자동차 부문의 새로운 경제 블록에 대한 우리 기업의 진입 전략을 모색해야 한다
31,고 말했다
32,다
33,부산시가 중.소형선박 엔진을 액화석유가스 엔진으로 전환하기 위한 실증작업에 나선다
34, 부산시는 .월부터 가스 엔진 선박 시장을 선도하고 기술 주도권을 확보하기 위해 .부산 해양모빌리티 규제자유특구. 실증사업을 추진한다고 .일 밝혔다
35, 이번 실증사업은 친환경성과 경제성이 입증된 가스를 중.소형 선박에 적용해 육상 및 해상 실증으로 실적을 쌓은 뒤 이를 법규와 기준안 규칙 등에 반영하기 위한 것이다
36, 가스 엔진은 가솔린 엔진보다 연료비가 저렴하며 유해물질 발생량이 적고 엔진 수명이 길다는 게 장점이 있다
37, 중형선박용 가스엔진. 부산시 제공 중형선박의 경우 가스 엔진 복합동력 전기추진선의 건조.운항 실증이 소형선박은 가스 선외기 전환.운항 실증이 이뤄진다
38, 또 육상에서 선박으로의 가스 공급 등이 실증 대상이다
39, 그동안 가스를 사용하는 선박에 대한 건조검사 기준 및 연료공급 기준이 없어 선박 건조 및 운항이 불가능했다
40, 그러나 규제자유특구 지정으로 규제가 완화돼 한국해양대학교조선해양응용실증기술센터 내 위치한 육상실험실에서 국내 최초로 구성품 성능평가 및 안전성 확인 실증이 이뤄지게 됐다
41, 소형선박용 가스 실외기. 부산시 제공 부산시는 .년 .월까지 육상실증을 마무리하고 해상실증에 나설 예정이다
42, 관련 법령 및 기준안이 마련되면 가스 선박 상용화가 본격 가능할 것으로 예상하고 있다
43, 부산시 관계자는 .이번 실증사업을 통해 친환경 선박 시장에 선도적으로 대응하고 부산의 신성장 동력을 마련할 것으로 기대한다
44,며 .가스 선박 실증사업 등을 함께 수소연료선박 연구개발 플랫폼 구축사업 등을 추진해 .저탄소 녹색도시 부산.을 만들겠다
45,고 말했다
46,다
47,현대오일뱅크는 .년까지 친환경미래사업의 영업이익 비중을 .까지 확대하기로 했다
48, 현대오일뱅크 제공 지난해 코로나. 팬데믹세계적 대유행으로 .적자 쇼크.에 빠졌던 국내 정유업계가 올해 상반기 반등에 성공하면서 배터리 수소 등 신사업 발굴을 통한 포트폴리오 재편에 나서고 있다
49, 탄소중립을 향한 .탈석유. 시대가 다가오는 만큼 미래 먹거리 선점을 위한 체질 전환에 속도를 내는 모습이다
50, .일 정유업계에 따르면 국내 정유 .빅.로 불리는 이노베이션 칼텍스 에쓰오일 현대오일뱅크는 지난 상반기에 총 .조.억원의 영업이익을 기록했다
51, 에쓰오일이 .조.억원의 영업이익을 기록했고 칼텍스와 이노베이션 현대오일뱅크가 각각 .조.억원 .조.억원 .억원의 영업 실적을 거뒀다
52, 지난해 상반기 .조원이 넘는 적자로 최악의 한 해를 보냈던 정유업계는 올해 .분기 연속 실적 회복세를 보이며 흑자 전환했다
53, 코로나. 사태로 인한 수요 급감으로 직격탄을 맞은 후 사업 다각화를 진행했고 국제유가가 점차적으로 오르며 실적개선으로 이어졌다
54, 특히 본업인 정유보다 윤활유 석유화학 등 비정유 부문이 실적을 끌어올렸다
55, 한숨을 돌린 정유업체들은 배터리 소재 개발 친환경 사업 진출 신사업 투자 등 다양한 미래전략을 제시하며 변신을 꾀하고 있다
56, 향후 탄소중립에 따른 수요 감소와 국제유가 하락 등에 대비하겠다는 의지로 풀이된다
57, 국내 최대 정유사인 이노베이션은 지난달 사업의 중심 축을 .탄소.에서 .그린친환경.으로 전환한다고 공식 선언했다
58, .여년간 본업이었던 정유 사업을 줄이고 친환경 사업 중심으로 회사의 정체성을 바꾸겠다는 것이다
59, 이노베이션은 일찌감치 차세대 먹거리로 배터리사업을 낙점하고 집중 투자를 하고 있다
60, 루브리컨츠 종합화학 등 비친환경 부문의 자산까지 매각하면서 배터리와 폐플라스틱 재활용 등 친환경 사업에 공을 들이고 있다
61, 김준 이노베이션 총괄사장이 지난달 .일 서울 여의도 콘래드 호텔에서 열린 .이노베이션 스토리 데이.에서 탄소 사업에서 그린 중심 사업으로 회사의 정체성을 완전히 바꾸겠다는 .파이낸셜 스토리.를 발표하고 있다
62, 이노베이션 제공 현대오일뱅크는 현재 .인 정유 사업 매출 비중을 .년까지 .대로 줄이고 친환경 사업의 영업이익 비중을 .까지 확대하는 내용의 .비전.을 내놨다
63, 최근엔 석유제품 탱크 임대 사업인 현대오일터미널 지분의 .를 사모펀드에 매각하며 친환경 사업 투자를 위한 실탄을 마련했다
64, 현대오일뱅크는 .년까지 블루수소생산 과정 중 탄소 배출을 최소화한 청정 수소 .만을 생산한다는 계획이다
65, 이를 위해 세계 최대 수소 생산업체인 미국 에어프로덕츠와 사업 협력을 맺는 등 국내외 에너지.발전 기업들과의 공조도 추진 중이다
66, 에쓰오일은 지난 .월 연료전지 기반의 청정에너지 솔루션을 제공하는 의 지분 .를 취득하며 수소 사업 진입을 위한 발판을 마련했다
67, 는 .년까지 최대 .억원 규모의 투자를 진행해 . 이상 규모의 생산설비를 구축하고 그린수소까지 사업영역을 확장한다는 방침이다
68, 칼텍스는 친환경 생산시설 강화와 함께 미래 모빌리티 사업에도 눈을 돌리고 있다
69, 칼텍스는 지난해부터 여수공장 생산시설 가동용 연료인 저유황중유를 전량 액화천연가스로 변경했다
70, 는 동일한 열량에도 보다 이산화탄소 배출량이 적다
71, 칼텍스는 .카카오. 운영사인 카카오모빌리티에 .억원을 투자하기로 결정하는 등 자사가 보유한 주유소 인프라와 미래 모빌리티를 연계하는 사업도 구상 중이다
72, 정유업체들의 이 같은 체질 개선은 화석연료 중심의 사업으로는 미래를 담보할 수 없다는 위기의식이 반영된 결과로 해석된다
73, 업계 관계자는 .국내외 탄소중립 기조가 확대되고 있는 만큼 지속 가능성을 확보하지 않으면 생존할 수 없다고 판단한 것.이라고 말했다
74,다
75,롯데케미칼 소재 제품 포장백. 롯데케미칼 제공. 과거에는 환경오염의 주범으로 꼽혔던 화학업계가 최근 적극적으로 친환경 행보에 나서고 있다
76, 플라스틱 등을 생산했던 업체들이 이제는 환경.사회.지배구조 경영에 발맞춰 .폐플라스틱. 재활용 방안을 내놓고 있다
77, 환경부에 따르면 지난해 한국의 폐플라스틱 배출량은 .으로 전년 대비 . 증가했고 폐비닐 배출량도 전년 대비 . 늘었다 롯데케미칼은 폐플라스틱 재활용 소재를 활용한 친환경 포장재를 자체 개발해 자사 제품 포장에 적용했다고 .일 밝혔다
78, 롯데케미칼은 고객사로부터 사용 후 버려지는 폴리에틸렌 소재 폐포장재를 회수하고 재활용 공정을 거쳐 .재생 폴리에틸렌.을 제조했다
79, 재생 폴리에틸렌은 약 . 비중으로 친환경 포장재 제조에 투입된다
80, 롯데케미칼은 사용 후 폐기되는 폴리에틸렌 포장재를 재활용하기 위해 올해 초부터 연구개발을 추진해왔고 고객사 협조를 받아 친환경 포장재 개발에 성공했다고 설명했다
81, 롯데케미칼은 현재 여수공장에서 생산되는 월 . 상당의 내수용 고밀도 폴리에틸렌 제품에서 친환경 포장재를 시범 적용 중이며 연말까지 적용 제품을 늘려 월 .만. 물량에 적용할 계획이다
82, 화학은 지난달 기자간담회를 열어 친환경 소재 개발 사업과 폐플라스틱 재활용 사업 등에 .조원을 투자한다고 밝히고 친환경 프리미엄 통합 브랜드 .렛제로.를 출범시켰다
83, 버려진 플라스틱을 재활용한 제품이나 식물성 원료로 만든 친환경 제품에 렛제로 마크를 단다
84, 또 스타트업 .이너보틀.과 협업을 맺고 올해 하반기부터 화장품 용기 플라스틱을 . 재활용하는 구조를 구축한다
85, .년부터는 독자 개발한 생분해성 플라스틱도 양산할 예정이다
86, 이노베이션도 자사 .그린 성장 전략.에 따라 플라스틱 재활용 방안을 내놓고 있다
87, 이노베이션의 자회사 종합화학은 지난달 깨끗한나라 팩과 업무협약을 체결하고 재활용 플라스틱을 . 이상 적용한 .친환경 포장재 개발.에 나섰다
88, 지난 .일에는 케미칼이 제주삼다수 페트병을 전량 회수하고 이를 화장품 용기나 섬유 가전에 사용하는 원료로 제작하겠다고 밝혔다
89, 도 폐플라스틱 열분해유 사업화를 위해 일본 벤처회사와 지난 .월 업무협약을 체결하고 생분해 플라스틱 소재 사업의 확대 방안을 구체화하고 있다
90, 미국 환경 컨설팅 기업 에 따르면 페트 소재의 플라스틱을 재활용하면 온실가스 배출량을 .까지 줄일 수 있다
91, 화학업계의 재활용 시도를 두고 긍정적 평가가 나오는 이유다
92, 그러나 아직 갈길이 멀다
93, 환경단체 그린피스의 보고서를 보면 한국에서 배출되는 폐플라스틱의 재활용 비율은 .에 불과하다
94, 화학업계의 플라스틱.비닐 재활용을 .친환경.으로는 볼 수 없다는 지적도 나온다
95, 근본적 해결책아 아니기 때문이다
96, 허승은 녹색연합 녹색사회팀장은 .석유화학 업체의 친환경 정책은 사실상 탄소중립 사회에서 업계를 유지하기 위한 방안에 불과하다
97,며 .폐기물 문제를 해결하려면 관련 제품의 발생량생산량 부터 줄이는 게 우선돼야 한다
98,고 말했다
99,다
100,지난해 .월부터 현대중공업 등 조선사 도장작업 노동자들에게 잇달아 발생한 피부질환의 원인이 회사가 새로 도입한 .친환경 도료.였던 것으로 고용노동부 조사 결과 확인됐다
101, 현대중공업 등 조선사들은 새 도료를 개발해 사용하면서 화학물질의 피부 과민성 문제를 소홀히 하고 노동자들에게 유해성 교육도 제대로 하지 않은 것으로 나타났다
102, 현대중공업 등 현대 계열 조선 .사에서 확인된 피부 질환자만 .명에 달한다
103, 울산 현대중공업 전경. 경향신문 자료사진 고용노동부는 .일 이 같은 내용의 조선사 도장작업 노동자 집단 피부질환 조사 결과를 발표했다
104, 노동부 조사는 지난해 .월 현대중공업 노동조합이 회사에서 새로 도입한 .무용제 도료.를 쓴 뒤 선박 도장 작업자들이 잇따라 피부질환을 겪었다며 도료 사용을 중지하고 위험성을 확인해 달라고 요청해 시작됐다
105, 지난해 .월 도입한 해당 도료를 쓴 노동자들은 피부에 붉은 반점과 물집이 생기는 피부발진 현상을 겪은 것으로 알려졌다
106, 관련기사 .친환경페인트라더니.현대중 노동자 .집단 피부병.년 .월.일 이에 노동부는 올해 .월 현대 계열 조선사 .곳인 현대중공업 현대미포조선 현대삼호중공업을 포함해 삼성중공업 한진중공업 세진중공업 대선조선과 도료 제조사인 울산공장 츄고쿠삼화페인트 까지 모두 .개 기업의 노동자 .명을 대상으로 임시 건강검진을 진행했다
107, 이 중 .명이 피부질환을 앓고 있었고 이중 .명은 현대 계열 조선사 노동자였다
108, 현대중공업이 .명 현대미포조선이 .명 현대삼호중공업이 .명이었다
109, 나머지 .명 유증상자는 츄고쿠삼화페인트에서 근무하는 노동자였다
110, 노동자들이 겪은 피부질환의 원인에 대해 노동부는 .무용제 도료에 포함된 과민성 물질이 원인일 가능성이 매우 높다
111,고 밝혔다
112, 무용제 도료는 대기 중에 오존을 발생시키는 휘발성 유기화합물 함량이 . 이내인 것으로 환경친화적 도료로 분류된다
113, 정부는 환경친화적 도료 사용을 확대하고자 무용제 도료 사용으로 휘발성 유기화합물 배출을 줄이면 이를 실적으로 인정해주고 있다
114, 노동부에 따르면 조선사와 도료 제조사가 무용제 도료를 개발하면서 페인트에 포함된 휘발성 유기화합물 함량은 낮아졌지만 대신 새로운 과민성 물질들이 포함됐다
115, 노동부는 특히 친환경 도료의 주 성분인 에폭시 수지가 기존 도료에 사용된 것보다 분자량이 적어 피부 과민성이 커진 것이 피부질환을 일으켰을 것으로 판단했다
116, 통상 분자량이 적을수록 피부 과민성이 높아진다
117, 조선사들은 산업안전보건법에 따라 원재료 등의 유해.위험 요인을 찾아내 질환 등의 예방 조치를 하게 돼 있지만 이 역시 지키지 않은 것으로 확인됐다
118, 노동부는 .도료 제조사와 조선사는 무용제 도료를 개발하면서 새로 함유된 화학물질의 피부 과민성 문제를 간과했고 사용 과정에서 노동자에게 피부 과민성에 대한 유해성 교육이나 적정 보호구의 지급도 적시에 이뤄지지 않은 것으로 나타났다
119,고 밝혔다
120, 노동부는 현대중공업 현대미포조선 현대삼호중공업에 대해 화학물질 도입 시 피부 과민성 평가를 해야 한다는 내용 등이 담긴 안전보건조치 명령을 내렸다
121, 노조는 노동부 조치가 충분하지 않다는 입장이다
122, 박정환 금속노조 현대중공업지부 노동안전보건실장은 .문제가 된 도료의 조선소 현장 사용을 원천 금지하고 회사가 피해 노동자에 대한 산재 처리를 신속히 하도록 지도하지 않은 것은 아쉽다
123,고 말했다
124, 현대중공업은 문제가 된 제품은 전량 폐기했다고 했다
125, 현대중공업 관계자는 .당시 피부발진의 원인으로 추정되는 극하절기용 경화제를 사용 중단하고 전량 폐기 처분했으며 이후 개선 제품을 공급해 사용하고 있다
126,고 밝혔다
127,다
128,.번가 제공 .번가가 고객들의 착한 소비와 기부를 응원하는 .행복크레딧 기획전.을 확대해 경영을 이어간다
129, .일 .번가에 따르면 이달부터 .친환경 택배박스.로 배송되는 상품 구입 시 구매 금액의 .가 자동 기부돼 홀몸 어르신 돌봄 장애청소년 교육 일회용 플라스틱 감축 등 사회문제 해결을 위해 쓰인다
130, .행복크레딧.은 텔레콤의 포인트 기부 프로그램으로 .번가의 .행복크레딧. 기획전을 통해 사회적기업 중소상공인 상품을 구매하면 참여할 수 있다
131, 이달부터는 .번가 내 .친환경 택배박스. 발송 상품이 추가돼 더 많은 고객들이 착한 소비를 통한 기부에 적극 동참할 수 있게 됐다
132, .번가는 지난해 .월부터 현재까지 .행복크레딧. 기획전을 통해 .만여 곳의 사회적기업 중소상공인 셀러의 .만개 상품들을 선보였고 .억.만원 이상의.행복크레딧.이 적립됐다
133, .번가는 올해 들어 경영의 일환으로 . 재활용이 가능한 친환경 택배박스 종이 완충재 종이 테이프를 도입해 환경보호에 적극 나서고 있다
134, .번가 백창돈 대외협력담당은 .고객들과 함께 사회적 가치를 실현할 수 있는 여러 방안들을 계속해서 고민해 선보일 것.이라고 말했다
135,다
136,롯데푸드는 국내 최초 저온살균 파스퇴르 우유 패키지를 리뉴얼했다고 .일 밝혔다
137, 롯데푸드에 따르면 새롭게 선보인 패키지는 라벨에 절취선을 추가해 분리배출 편의성을 강화했다
138, 분리한 라벨은 비닐로 우유병은 플라스틱으로 분리수거하면 된다
139, 또 디자인 면적을 확대해 제품 정보 확인이 한층 용이해졌다
140, 병 상단에 .도 저온살균 엠블럼을 추가해 파스퇴르 우유의 핵심 특징을 강조했다
141, 병목 위쪽이 넓어지는 자형 패키지는 중세 유럽 귀족의 빳빳하게 세운 깃에서 모티프를 따왔다
142, 넓고 둥근 우유병을 잡고 따르기 어려웠던 점을 고려해 용기 상단을 한 손에 잡히게 개선했다
143, 원터치 캡으로 뚜껑 편의성도 높였다
144, 기존에는 뚜껑을 열고 이너실링을 제거해야 돼 불편함이 있었다
145, 뚜껑의 밀폐력도 높아져 제품 안전성도 강화했다
146, 롯데푸드는 패키지 리뉴얼과 함께 제품 라인도 후레쉬 저지방 유산균으로 변경했다
147, 저지방 우유와 차별점이 약했던 무지방 우유는 단종하고 롯데중양연구소와 공동개발한 식물성 유산균 .을 넣은 유산균 우유를 추가했다
148, 파스퇴르는 .년 국내 최초로 저온살균우유를 출시하며 유업계와 소비자들에게 신선한 충격을 줬다
149, 저온 살균우유는 생우유에 들어있는 효소나 유익균 등은 그대로 살리고 결핵균과 같은 유해균만 죽이는 장점이 있다
150, 또 초고온 살균에 비해 칼슘과 단백질 등 영양소 열변성 및 비타민 손실을 최소화한다
151, 하지만 .도라는 살균 온도를 .분이라는 긴 시간 동안 유지해야 하는 만큼 초고온 살균보다 더 많은 비용과 노력이 들어갈 수 밖에 없다
152, 원유 품질이 나쁘거나 세균 수가 많으면 사용할 수 없다
153, 파스퇴르는 .년 당시부터 지금까지 현재 법적 기준 .급 우유인 .당 세균 수 .만마리 이하보다 .배 깐깐한 .당 세균 수 .마리 이하의 엄격한 기준으로 원유를 관리하고 있다
154, 롯데푸드 관계자는 .파스퇴르 새 디자인에 세련미와 편의성 친환경을 담고자 했다
155,면서 .디자인은 바뀌어도 파스퇴르 저온살균우유의 건강함과 품질에 대한 깐깐함은 변함없이 그대로 살아있다
156,고 말했다
157,다
158,밀키트 전문 기업 .프레시지. 에코프린팅 실현 위한 엡손 비즈니스젯 복합기 설치 한국엡손이하 엡손이 공식 대리점 .휴니크 .올프린터.와 함께 엡손만의 친환경 프린팅 기술력을 바탕으로 에코 마케팅을 추진해 친환경 비즈니스 확대에 속도를 내고 있다
159, 엡손이 올해 추진하고 있는 친환경 산업혁신 스마트 교육으로 사회적 가치를 실현하는 브랜드 캠페인 디테일이 만드는 더 나은 내일의 일환으로 친환경 트렌드를 이끌어 갈 국내 기업과의 콜라보레이션을 통해 시너지를 높이겠다는 계획이다
160, 최근 밀 키트 전문 기업 .프레시지대표 정중교.는 필.환경 소비 트렌드를 반영해 엡손의 친환경적인 비즈니스젯 컬러 복합기를 도입했다
161, 프레시지는 플라스틱 사용량 절감을 목표로 패키지를 종이로 변경하고 신선식품 배송 과정의 아이스팩을 물로 교체하는 등 친환경 움직임을 확대하고 있다
162, 여기에 환경 경영의 일환으로 사내 임직원들이 사용하는 제품과 공간을 환경친화적으로 변화시키고자 엡손에서 출시한 비즈니스젯 복합기 . . . 등을 설치했다
163, .엡손 비즈니스젯 복합기 좌. 중. 우. 엡손의 비즈니스젯 프린터는 레이저 프린터 대비 사용전력이 . 이상 낮은 잉크젯 프린터에 열이 필요하지 않은 독자적인 히트프리 기술을 적용해 . 발생량을 최대 .까지 낮춰 에코 프린팅을 실현한다
164, 또한 대용량 잉크팩을 사용해 불필요한 소모품 폐기물을 줄인다
165, 여기에 비즈니스 환경에 적합한 다양한 보안 출력 기능모든 출력기기의 모니터링 출력물 이력 관리 사용자별 인증과 보안출력 클라우드 프린팅 기능 등이 있어 작은 오피스의 스타트업부터 큰 규모의 기업에 이르기까지 관심을 받고 있다
166, 프레시지 관계자는 .엡손의 친환경적인 히트프리 기술이 프레시지의 인쇄 환경을 탄소중립에 한발짝 더 다가갈 수 있도록 바꾸었다
167,고 전했다
168, 엡손 관계자는 .앞으로도 비즈니스젯을 통한 에코 마케팅을 확대해 다양한 기업에서 친환경적인 에코 프린팅을 할 수 있도록 노력하겠다
169,고 말했다
170, 엡손은 제조 공장에서 탄소 중립 실현과 자원을 재활용한 고유 기술 개발 등 실효성 있는 기업 차원의 액션 플랜을 가시화하고 있다
171, 또한 지구온난화 예방과 세계 극지의 영구 동토층 보호를 위해 내셔널지오그래픽과 함께 . . 글로벌 캠페인을 론칭하여 엡손의 제품을 이용하는 소비자들도 기후변화 대응에 참여할 수 있도록 환경 경영의 범위를 확장하고 있다
172,다
173,우성플라테크와 상업화 협업 케미칼이 화장품 용기 제조업체 .우성플라테크.와 화학적 재활용 기술을 적용한 친환경 포장재 개발과 상업화에 나선다고 .일 밝혔다
174, 케미칼은 친환경 패키징 소재인 .에코트리아 .을 공급하고 우성플라테크는 이를 활용해 투명 화장품 용기를 생산할 예정이다
175, 우성플라테크는 연간 .억개의 플라스틱 용기를 로레알 랑콤 생활건강 등 화장품 업체에 공급하고 있다
176, 친환경 포장재 개발에 사용되는 화학적 재활용 기술의 핵심은 폐플라스틱을 순수한 원료 상태로 분해한 뒤 다시 고분자 플라스틱을 제조하는 것이다
177, 이렇게 제작된 소재는 물리적 재활용 소재보다 미세 이물질이 적어 화장품 업체가 요구하는 높은 품질의 용기 제작이 가능하다
178, 특히 사용 후에도 재활용이 가능해 해외 시장에서도 많은 관심을 받고 있다
179, 현재 로레알 에스티로더 샤넬을 비롯한 해외 화장품 업계도 플라스틱 폐기물을 줄이기 위해 재활용에 촉각을 세우고 있다
180, 특히 로레알은 제품 포장에 사용되는 플라스틱을 .년까지 재활용 또는 바이오 기반 원료를 사용한 포장재로 . 전환할 계획이다
181, 케미칼은 지난 .년간 진행한 울산공장 신규 코폴리에스터 생산설비 증설을 완료하고 지난 .월부터 상업 생산을 시작했다
182, 지난 .월에는 중국 폐플라스틱 재활용 업체와 화학적 재활용 원료 등의 구매 독점 계약을 맺었다
183, 화학적 재활용 코폴리에스터 에코트리아 도 오는 .월부터 본격 생산하는 등 재활용 제품 판매 비중을 .년 . .년 .까지 확대할 계획이다
184,다
185,에너지와 자원 소비의 최소화.자연 에너지 이용 원칙에 따라 건물 짓는 것 기후위기 대응을 위해 인간활동 전 분야에서 탄소중립을 이뤄야 한다는 목소리가 커지고 있다
186, 건물과 건설 부문도 예외는 아니다
187, 국제에너지기구에 따르면 건물 및 건설 부문은 전 세계 최종 에너지 수요의 .를 차지한다
188, 이 분야의 온실가스 배출량은 .년 기준 .억으로 그해 전체 온실가스 배출량.억의 .를 차지했다
189, 세계녹색건축위원회는 산업화 이후 온도 상승폭을 . 내로 유지하려면 건물.건설 분야의 대폭적인 탄소 감축이 필요하다고 강조했다
190, 그러면서 .년까지 모든 건물 신축과 리노베이션 과정에서의 탄소배출량을 최소 . 줄이자는 목표를 제시했다
191, 모든 신축 건물의 운영 중 탄소배출량은 제로가 돼야 한다고 밝혔다
192, .년에는 건물 신축과 리노베이션 과정의 탄소배출량을 순제로로 기존 건물을 포함한 모든 건물의 운영 중 탄소배출량 역시 제로가 돼야 한다는 목표를 세웠다
193, 영국왕립건축가협회 역시 비슷한 목표를 제시했다
194, 탄소는 건물을 사용하는 동안만 나오는 게 아니다
195, .내재된 탄소 .로 불리는 양도 상당하다
196, 건설 자재를 만들고 운송해 건물을 짓는 과정은 물론 건물을 유지.개보수하고 철거하는 과정에서 나온다
197, 이런 이유로 영국왕립건축가협회는 건물을 철거하는 대신 최대한 그린 리모델링을 해야 한다고 강조했다
198, 이런 생각과 맞닿은 것이 생태건축이다
199, 생태건축은 건축이 환경파괴의 주범이 된 것을 반성하면서 에너지와 자원 소비의 최소화 자연에너지 이용 생태계 다양성 보존이라는 원칙에 따라 건물을 짓는 것이다
200, 친환경건축 제로에너지빌딩 그린건축 등 다양한 이름으로 변주되고 있다
201, 올해 프리츠커상을 받은 안느 라카통과 장 필리프 바살은 보르도의 사회 주택 단지를 리모델링하면서 투명패널과 온실기술을 이용해 거주 공간의 면적과 기능을 확장했다
202, 올해 프리츠커상을 받은 안느 라카통과 장 필리프 바살은 기존 건물을 허물지 않고 리모델링하면서 투명패널과 온실기술을 이용해 거주 공간의 면적과 기능을 확장했다
203, 하얏트재단 생태건축 분야에서 프리츠커상 나올 가능성 글로벌 각지에서 생태건축에 기반을 둔 프로젝트가 활발히 진행되고 있다
204, 도시의 버려진 건물과 시설을 허무는 대신 새로운 쓰임새를 가진 공간으로 재탄생시키는 작업이다
205, 건축가인 남상문 날곳 건축사사무소 대표가 꼽은 대표적 사례는 지난 .월 뉴욕 허드슨강에 개장한 리틀 아일랜드 수상공원이다
206, 철길을 정원으로 만든 뉴욕 하이라인 파크처럼 버려진 부두를 도심 공원으로 만들었다
207, 덴마크 건축사무소 가 설계한 코펜힐도 좋은 사례로 들었다
208, 코펜하겐시가 .년 세계 최초의 .탄소중립도시.를 만들겠다는 목표로 세운 열병합발전소인데 .년 말 . 높이의 옥상을 스키장과 등산길로 만들어 화제가 됐다
209, 국내 사례로 부천의 아트벙커.를 들 수 있다
