,내용
655,모델3 몇일 장 단거리 타면서 아직 클 몰았던 기운이 가시기 전에 적어봅니다 현재는 와이프 아반떼 모델3 운용중입니다 1 즉각적인 반응 모터로 움직이니 첨부터 풀토크 나와서 시원시원 하긴 함 2 엔진 소음없이 조용함 하지만 풍절음 등 다른소음은 압도적으로 모델3가 많이남 3 승차감은 클 대비 영 별로고 고속에서도 클은 매우 안정적인데 반해 좀 그럼 아니 많이 그럼 4 카페에서는 고급지다 뭐 모델3 최고다 하는데 개뿔 5 차를 타보면 벤츠의 역사는 길고 테슬라는 차 만든지 얼마 안된 기업이다 6 전기차중에서는 잘만든거 같다 나중에 벤츠에서 본격적으로 전기차가 나오면 차라리 벤츠를 사겠다 7 충전 은근 귀찮긴 하나 요금보고 아 그렇지 내가 귀찮아야지 생각듦 8 앗 유지비 경차보다 싸다 톨비 절반 저렴한 충전단가로 충전시 매우저렴 친환경차 주차비 할인까지 9 거주지에 집밥이 잘되어있지 않다면 못탈차임 다행이 아파트에 고정형 5기 이동형 60몇기 있어서 걱정은 없음 10 정품아닌차를 받아서정품은 단차 결함이 있어야 정품이라함 그나마 다행 11 기존 차의 틀을 많이 벗어던진건 인정 하지만 그로인한 불편함도 있다 특히나 계기판 없는건이건 익숙해질듯하긴 함 12 업데이트 되고 하는건 이것은 마치 아이패드인가 싶음 13 몇몇 지인들 및 와이프 태우고 다녔는데 다들 하는말 클은 고급지고 편안했고 모델3는 그냥 재미있고 신기한 차 14 오토스티어차선유지 핸들 사실 나는 벤츠의 20이 더 나은거 같다 조향은 괜찮으나 지맘대로 먹는 속도제한이 제일 문제 15 더 쓰자면 80도로를 가다가 지가 맵이든로 곁길을 인지하든 40도로로 인지해버리면 아무리 높게 설정을 해도 50으로10까지 줄여버림 결론 보조금까지 줘가면서 전기차를 많이 타게 하는데는 기존 차보다는 불편함이 따르기 때문이다환경적인 영향도 있겠지만 다름 교체타이밍에는 테슬라 탈까 네니오 그럼에도 불구하고 다 상쇄되는건 유지비 만큼은 압살 궁금한건 질문주시면 답변드릴께요
656,탈탄소 및 친환경소개기업 블랙아이스 겨울관련 염화칼슘 백신때문에 외부활동관련주 오름세인데 이것도 외부활동에 해당하는 휴게소사업 거기에 연말에 28 배당주 태경비케이아래 태경케미컬현재 상두번 이여서 샀는데 오늘 오르네요 기분좋네요
657,아이폰 2 리퍼 후기 입니다 81 티다티몬으로 구매한 2 입니다만 보시다시피 강제 재부팅 건이 발생해서 결 3633960 아이폰 2 구매 약 두달차 두번째 리퍼 후기입니다 진짜로 제 뽑기 운이 똥인건가 아니면 기기나 펌웨어 결함인가는 몰라도 81 티다발 개통 후 사용 중 강 3638789 네 81부로 개통한 기기인데 앞서 98 107에 패닉풀 로그 떠서 센터를 2회 다녀왔습니다만 스샷처럼 보시다시피 한달 조금 넘어서 또 3회 카운트가 되서 다녀오게 되었습니다 구매하고 거의 한달 간격으로 센터 가는거 자체가 정상은 아니죠ㅠ 센터 방문해서 기사분께 맡기고 진단 돌리고 결과는 역시나 사유 맞다고 합니다 기사분이 로그보고 미안해하시더군요 동일 사유로 3번 와서 세번째로 리퍼하게 된 상황이니 인터넷에서 찾아봤던 애플 규정에 의하면 동일사유 3회차 통합 사유 5회차는 신품 환불이길래 이전에 하던데로 리퍼품 꺼내오시려던 기사분께 말씀드리니 당황하시더군요 소비자보호법이랑 규정상 맞긴 한데 기사님도 이런 경우는 처음이라 물어봐야 안다고 연락 통해 어찌어찌 물어보고 진단센터 보내서 판단해봐야 자세한건 알고 이후 다음 절차는 내일어제 저녁에 다녀왔으니 오늘이겠네요 연락 준다고 했고 임대폰은 그런거 없었고요 유심만 빼서 주셔서 받아가지고 나와서 집으로 돌아가는데 연락이 다시 왔습니다 다시 오실 수 있냐고 그래서 가니 이용계약등록사항증명서를 요구하시더군요 근데 당시 시간이 저녁 7시 되던 시점이기도 했고 티다발 기기 수급이후 번이라서 지점가서 받아오라고 하시네요 센터가 집에서 가까운것도 아니고 바쁜데 내일 또 가야된다는 거 때문에 고민하다 결국은 그냥 신품 환불은 포기하고 그냥 리퍼 받아왔습니다 리퍼는 센터 재량으로도 된다고 하니 물론 이번도 모델넘버 으로 시작하는 리퍼폰 집에와서 바로 142로 올리고 조금씩 다시 앱 설치중인데 3연벙도 아니고 동일사유로 3번째 이러니 이제는 해탈할 지경입니다 6 만 4년 반을 쓰면서 이런적 한번도 없었는데 신품이라는 2가 이런거는 회의감 느끼기 하기에 충분하죠 차라리 하드한 게임 돌리다 훅 간거면 아 그래 그럴 수도 있지 하는데 그냥 사파리 앱으로 웹서핑 하다가 중간에 느닷없이 훅 꺼지는데 이걸 안정적으로 어떻게 씁니까ㅠ 리퍼 진행하면서 기사분 말씀으로는 동일사유 3회차 발생이니 다음번에 또 이런 이유로 와도 신품 환불 진행 가능하니 물론 또 이런 일이 생기면 안되지만쑻 또 발생하게 되면 이용계약등록사항 증명서 받아서 같이 지참하고 오면 된다고 하네요 근데 번호이동 하고 나서 현재는 번호가 없으니 저같은 경우는 인터넷 찾아보니 일단은 필요하면 대리점 가서 뽑아야 되는거 같지만요티월드 쪽 인터넷 조회는 안되는거 확인 만약에그럴일은 없어야 겠지만 또 동일 패닉풀 사유로 센터 방문하게 될 경우는 환불 쪽을 심각하게 고려중입니다 이거 물어보긴 했는데 기사분도 처음이라 대답을 확실히 못하시더군요 애플 공홈에서 산거면 그냥 고스란히 받으면 되긴 하는데 티다 사이트에서 문상신공 20만티다 상품권 30만티다쿠폰 10만 이런식으로 샀던지라 환불하는 경우 주체가 애플인가 티다이텍트인가도 모르고 환불할때 금액이 기기 공시가격 전부 다 받는건가 아니면 쿠폰 제외하고 현금성 금액권문상 티다 상품권 그외 포인트들만 돌려주는건가 그것도 아니면 티다 홈페이지에서 구매 당시 수단으로 돌려받는건가이걸 확실히 말씀 못하셨달까요 저같이 동일사유 3회 발생으로 절차 밟아야 되는게 처음이다보니 그리고 신품 교환의 경우는 아이폰 12 나오고 바뀐 친환경쑻 정책 덕분에 기기 박스 안 구성품이 충전기 빠지고 케이블만 있다고 하시면서 박스 일대일 교환 아닌 리퍼처럼 기기만 바꾸는 식으로 진행되는게 좋다고 하셨던게 그냥 리퍼 받자는 생각에 한몫 더한거 같네요 신품 받아도 바뀌는게 리퍼랑 방식은 차이도 없는데 시간은 진단센터 다녀오느라 오래걸리고 임대폰은 그없이고 아무튼 이런저런 개인적 사정 포함해서 어쩔 수 없이 3회차 신품환불 대신 리퍼 받아오긴 했습니다만은 도 142로 올렸으니 제발 좀 멀쩡히 쓰고 싶습니다 진짜로 또 가게 되는 경우는 이용계약등록사항증명서 발급 받고 센터 방문전에 애플 센터에 환불 관련으로 철저하게 물어보고 가겠죠 그동안 리퍼한거야 계속해서 아이폰 쓸 목적으로 한거지만 저도 순정이 있습니다 근데 애플이 이런식으로 제 순정을 짓밟으면은 그때는 제가 환불러가 되는 거잖아요
658,문의드립니다 33평 올확장형이구요기존 모든바닥 강마루설치되어있고바닥은 구정 강마루 스웨디시 화이트로 시공할 예정이고벽지는 업체추천으로 제일벽지 실크 트루페인트로 천장포함 전체 시공할예정입니다견적은 기존바닥 철거포함 이것저것 부자재까지 포함 해서 300견적 받았고벽지는 올확장형이라 5품으로 작업해야한다고 해서 부자재포함 200이나왔습니다제일벽지는 많이 들어보지는 못했고 요즘 제품은 거의다 친환경이라고는 하는데 친환경이 타이틀이 아닌 제품이라 5개월된 아기한테 괜찮은건가 싶기도 하구요이 견적금액 괜찮은걸까요
659,정답 2413 이벤트 안내 이벤트 섬유의 날 기념 섬유는 효성이다 효성 친환경 섬유 퀴즈 11월 11일 섬유의 날을 맞아 글로벌 섬유 기업 효성은 지속가능한 섬유의 미래를 그려보려고 합니다 뛰어난 기술력으로 고기능성 원사를 개발 생산해온 효성은 이제 기능성은 물론 친환경성으로 여러분에게 닿 4990 직링크 섬유는 효성이다 88
660,내일부터 해당브랜드 친환경상품 구매시 에코머니 50 지급
661,1 우리바이오30 이숭래 대표이사가 한국화이자 임원 출신인 점이 시장에서 부각되며 상한가 2 그린케미칼2998 이산화탄소 감축·유용화 기술 보유 지속 부각에 상한가 3 홀딩스2992 종속회사 생명과학 항생체 중간체 화이자 독점공급 사실 부각에 상한가 4 일신바이오2989 화이자 코로나19 백신 개발 기대감에 콜드체인저온 유통 테마 상승 속 상한가 5 대한과학2988 화이자 코로나19 백신 개발 기대감에 콜드체인저온 유통 테마 상승 속 상한가 6 생명과학2975 항생체 중간체 화이자 독점공급 사실 부각에 상한가 7 에이비프로바이오2965 파우치 모더나 코로나19 백신 기대 발언 등에 관련주로 부각되며 급등 8 제일약품2835 성석제 대표이사가 한국화이자 부사장 출신인 점과 화이자 제품을 판매하고 있는 점이 시장에서 부각되며 급등 9 라파스2506 화이자 코로나19 백신 개발 기대감 속 백신 단점 해결책 부각 등에 급등 10 제일파마홀딩스2475 자회사 제일약품 성석제 대표이사가 한국화이자 부사장 출신인 점과 화이자 제품을 판매하고 있는 점이 시장에서 부각되며 급등 11 엔투텍2405 파우치 모더나 코로나19 백신 기대 발언 속 美 모더나와 코로나19 백신 유통 위한 협의 진행 사실 지속 부각에 급등 12 태경케미컬2245 화이자 코로나19 백신 개발 기대감에 콜드체인저온 유통 테마 상승 속 급등 13 세운메디칼2243 화이자 코로나19 백신 개발 기대감 속 의약외품 공급 기대감 부각에 급등 14 이노테라피1986 화이자 코로나19 백신 개발 기대감 속 의약외품 공급 기대감 부각에 급등 15 명성티엔에스1741 최대주주 변경 속 급등 16 1721 울산 강동관광단지 워터파크지구 사업 재개 속 급등 17 신성델타테크161 바이든 친환경정책 기대감 속 2차전지 부각에 급등 18 드림씨아이에스1538 임상시험 수탁기관 업체로서 항후 화이자 백신 국내 공급시 임상시험 관련 수혜가 기대 속 급등 19 1468 화이자 코로나19 백신 개발 기대감에 따른 원유수요 침체 완화 전망 등에 정유 테마 상승 속 급등 20 소룩스142 신규 상장 사흘째 급등 21 서린바이오1411 화이자 코로나19 백신 개발 기대감에 콜드체인저온 유통 테마 상승 속 급등 22 일진전기1396 바이든 친환경정책 기대감 속 지멘스와 세계최초 친환경 진공차단기 개발 진행사실 재부각에 급등 23 바이오솔루션1346 세포치료제 카티라이프 환자 90서 100 연골재생 효과 확인 소식에 급등 24 원풍물산1318 투자사 가 화이자 출신 신약 임상전문가 영입 사실 부각에 급등 25 녹십자랩셀131 화이자 코로나19 백신 개발 기대감에 콜드체인저온 유통 테마 상승 속 급등 26 아시아종묘1279 11월9일 코로나 확산에도 종자 수출 확대 관련 기사 모멘텀 지속에 급등 27 진에어1154 화이자 코로나19 백신 개발 기대감에 항공저가항공사 테마 상승 속 급등 28 대한항공1124 항공저가항공사 테마 상승 속 코로나19 백신 화물운송 수혜 전망 등에 급등 29 충방1114 文대통령 아세안 회의 참석靑 세계최대 메가 타결 기대감에 급등 30 제주항공1111 화이자 코로나19 백신 개발 기대감에 항공저가항공사 테마 상승 속 급등
662,우선 1 국민 특유의 재탕하던 그림이 사라지고 스타프렌즈로 변경 2 상시 뒷면에 제공하던 스티커 삭제 3 코팅 안된 종이에 인쇄된 달력으로 제작 4 금융그룹 자랑 대신 친환경 강조 올해 수량도 전년주문대비 30정도 감축했다는데 확실히 해가 갈수록 달력이 줄어드네요 2021년도 달력에는 스티커 미제공 이건 올해 달력 종이가 코팅안된 종이입니다
663,재택근무 원격수업용 컴퓨터 24인치모니터추천 알파스캔 242 리뷰 보통 가정에서 사용하는 모니터를 구매할 때는 각자 용도에 따라 사이즈나 기능들을 따져보고 구매를 할탠데요 오늘은 재택근무 및 원격수업용 컴퓨터모니터를 구매계획하고 있는 분들을 위해 가성비 좋은 24인치모니터추천을 해 드리려고 합니다 바로 알파스캔의 242 보더리스 75 무결점 모니터입니다 현재 다나와 최저가 기준 143630원현금가 129100원으로 판매중인 24인치 모니터로 제품의 스펙부터 브랜드의 서비스 등등 전반적인 부분에서 따져봤을 때 합리적으로 구매할 수 있는 재택근무 및 원격수업용 모니터라고 할 수 있어요 제품 구성품은 모니터 본체스탠드 장착 받침대전원어댑터케이블드라이버 메뉴얼카드로 구성이 되어 있습니다 기본적으로 조립할 시에는 받침대에 결착만 해주면 되는 간단한 방식이지만 모니터암이나 별도의 모니터받침대에 장착을 하길 원하는 유저를 위해 알파스캔 242 스탠드부분도 분리가 가능하도록 되어있습니다 알파스캔 242 컴퓨터모니터 조립이 완성 된 모습입니다 디자인은 전체적으로 아주 심플합니다 별다른 특징없이 전형적인 24인치모니터 입니다 뒷면에는 100100의 베사홀이 있고 그 아래에는 오디오단자전원포트가 나란히 자리해있습니다 별도의 내장스피커가 있지않아 소리사용에 있어서는 외장스피커가 필요합니다 기본으로 제공되는 받침대에서는 틸트기능만 있습니다 35 215도로 뒤로 상당히 큰 폭으로 조절을 할 수 있습니다 그리고 모니터 두께도 1의 나름 슬림한 디자인이지만 요즘 나오는 초슬림 모델들과 비교를 하자면 무난하게 느껴지는 두께입니다 알파스캔 242 보더리스 75 컴퓨터모니터는 무결점 100를 지원하기 때문에 구입 후 한 달 이내에 검정 패턴에서 색상으로 빛나는 점이나 색상에서 검정유색으로 빛나는 점이 있을 경우 패널 교환을 해주는 정책입니다 화질에 있어서도 패널의 19201080화질로 아주 선명하게 이미지 및 영상을 감상할 수 있어서 영화감상용이나 혹은 90 106 ㅁ애ㅠㄷ 꽇 89로 포토샵프리미어같은 그래픽작업용으로 사용하기에도 적합합니다 시야각에서도 좌우 178도 색상변함없이 사용이 가능해 멀티디스플레이 환경에서도 활용할 수 있습니다 베젤의 경우에는 아웃베젤12 이너베젤37이 존재해 약 5의 베젤 3면으로 자리 해 있습니다 멀티디스플레이 모니터용으로 사용을 한다고 해도 민감한유저가 아닌이상에서는 무난하게 사용할 수 있는 24인치모니터입니다 디스플레이 설정에서도 19201080 해상도와 75가 정상적으로 인식되는걸 확인 할 수 있습니다 물론 고주사율의 게이밍모니터과 비교하자면 한없이 부족하겠지만 고주사율를 지원하지 않는 일반적인 게임을 할 때에 잔상없이 깔끔한 화면으로 게임플레이도 할 수 있어 다용도의 가정용모니터로도 괜찮습니다 다음은 메뉴입니다 모니터의 버튼은 오른쪽 하단부에 위치 해 있고 휘도이미지설저으색상설정화면설정설정부가기능으로 나눠져있어요 제가 알파스캔 242를 재택근무 및 원격수업용 모니터로 추천하는 이유는 현대인들을 위한 눈건강 시력보호 기능들까지 있다는 점 입니다 우선 기본적으로 모니터에는 태양광이나 형광등에 반사되는 빛을 줄여주는 편광판논글레어 패널이 부착되어 있고 플리커프리 기능으로 눈의 피로감도 덜 수 있어요 그리고 청광색에 민감하신분들은 각 4단계의 로우블루라이트 기능으로 필터링하여 사용할 수 있습니다 그리고 알파스캔 242는 미국 인증을 받은 친환경 초절전 제품으로 모니터 자동종료 기능으로 대기모드일시 0102 수준의 전력과 045090 정도의 전류 밖에 흐르지 않아 가정용 혹은 업무용모니터로 전기세 절감까지 가능합니다 사용시에는 전력 13 전류 5936 모니터 전원을 끄면 전력전류가 0으로 인식합니다 지금까지 재택근무 및 우너격수업용 모니터로 알파스캔 242를 살펴봤는데요 현재 가격비교 사이트 다나와에서도 24인치 모니터 랭킹 2위로 가격성능서비스를 다 따져봤을 때 메인 혹은 서브모니터로 사용하기 좋은 모델이라 생각합니다 나름 현금가 12만원대의 모니터로써는 화질도 선명하고 아이케어기능이 탑재되어있으며 2년 무상 보증기간까지 듀얼모니터용을 알아보고있다면 알파스캔 242 선택해 보세요 5116428401 12264908 24인치모니터 컴퓨터모니터 재택근무 알파스캔 242 원격수업 모니터추천
664,1 소룩스 3000 관련주 신규상장주 시총2700억대 조명사업 공모가10000원 신규상장주 수급 순환매 2 우리바이오 2994 관련주 시총2000억대 조명건기식사업 화이자 코로나19백신 11월 3주차 긴급사용승인 가능성 부각 ? 화이자관련주 재부각 3 생명과학 2988 제약바이오주 시총2400억대 의약품중간체사업 화이자 코로나19백신 11월 3주차 긴급사용승인 가능성 부각 ? 화이자관련주 재부각 4 이아이디 2986 유류관련주 시총2000억대 화장품유류사업 바이든 당선인 뉴스 ? 친환경차섹터 ? 자회사 케이아이티 지이를 통한 2차전지신사업 추진 재부각 5 디딤 2985 외식관련주 시총900억대 프랜차이즈사업 프랜차이즈간편식사업 확대 교촌에프앤비 상장 전 유사사업자 부각 개별 등락 6 신성이엔지 2976 반도체관련주 시총7900억대 클린룸태양광자동화설비사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 태양광관련주 부각 7 대한해운 2975 물류주 시총5100억대 해상운송사업 해상운임 상승세 뉴스 ? 물류관련주 동반 반등세 8 드래곤플라이 2792 게임주 시총600억대 게임개발사업 캐주얼 슈팅게임 비벤져스 11월 11일 출시 예정 개별 등락 9 팬오션 2109 물류주 시총2조2천억대 해상운송사업 해상운임 상승세 뉴스 ? 물류관련주 동반 반등세 10 지엔씨에너지 2088 발전관련주 시총1100억대 발전기바이오가스사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 바이오가스관련주 부각 11 프럼파스트 2061 건자재주 시총400억대 파이프사업 행정수도 이전 본격화 소식 ? 세종시개헌관련주 부각 12 1835 조선태양광관련주 시총2400억대 선외기태양광사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 태양광관련주 부각 13 이수화학 1814 화학주 시총3000억대 알킨벤젠노말파라핀사업 국책 과제 ‘전고체 배터리 원료 기술개발’ 선정 소식 재부각 14 엠투엔 1789 금속주 시총3200억대 스틸드럼사업 구디케이디앤아이 사명변경 ? 자금조달 바이오신사업 추진 중 개별 등락 15 현대에너지솔루션 1782 태양광관련주 시총4700억대 태양광사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 태양광관련주 부각 16 이원컴포텍 1770 자동차부품주 시총2200억대 부품사업 바이러스 진단사업 추진 개별 등락 17 서암기계공업 1642 기계주 시총700억대 공작기계사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 풍력관련주 부각 18 엔투텍 1618 기계주 시총2000억대 진공장비사업 구마이크로텍 미국 신약개발사 모더나와 코로나19 백신 한국 유통 논의 소식 부각 19 1610 물류주 시총3조8천억대 해상운송사업 컨테이너선 운임 상승세 지속 환경 ? 턴어라운드 진행 중 20 현대일렉트릭 1593 전력관련주 시총6100억대 전력기기사업 3분기 흑자전환 신재생에너지 관련 사업 부각 21 씨에스윈드 1549 풍력관련주 시총2조2천억데 풍력부품사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 풍력관련주3분기 호실적 부각 22 대성파인텍 1538 자동차부품주 시총700억대 부품태양광사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 태양광관련주 부각 23 윌링스 1377 전력관련주 시총900억대 태양광인버터사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 태양광관련주 부각 24 제이씨케미칼 1360 화학주 시총1600억대 바이오디젤사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 신재생에너지사업 부각 25 휴켐스 1360 화학주 시총1조1천억대 화학소재사업 바이든 당선인 뉴스 ? 탄소배출권 부각 ? 탄소배출권사업 부각 26 세진중공업 1359 조선관련주 시총3000억대 조선기자재풍력사업 바이든 당선인 뉴스 ? 신재생에너지섹터 ? 풍력관련주 부각 27 그린케미칼 1345 화학주 시총1000억대 계면활성제사업 바이든 당선인 뉴스 ? 탄소배출권 부각 ? 이산화탄소 포집전환 기술 개발 부각 28 1341 물류주 시총800억대 육상운송항만하역사업 금일 물류관련주 상승에 컨테이너터미널항만하역사업 부문 동반 부각 29 아시아종묘 1314 종묘관련주 시총500억대 종묘사업 재료미노출 개별 등락 30 현대미포조선 1309 조선주 시총1조3천억대 조선사업 해상운임 상승세 뉴스 ? 물류관련주 반등 ? 선박 발주 기대감 동반 부각
665,응용 프로그램 퍼포먼스 클래스 2 등급의 빠른 실행과 원활한 작동 방진 방수 온도 및 선 방지 초고화질 4 지원 가능한 마이크로추천 메모리카드 실리콘파워 1 3 64 패키지 및 브랜드 추억을 저장하는 추억보관은 몇십년전 사진이나 비디오테잎 등으로 저장되었지만 기술의 발전에 따라 엄청나게 작아진 사이즈의 마이크로 메모리 카드를 통해 저장하는 시대가 오면서 언제 어디서나 모바일을 통해서도 불러오기가 가능한 현시대엔 없어서는 안될 꿀템 스마트폰을 비롯해 카메라 캠코더 태블릿 자동차 블랙박스 액션캠카드 등의 스마트 디바이스를 기준으로 굉장히 널리 사용되고 있으며 아무래도 저같은 리뷰어의 경우 사진과 영상이 일반적인 사람들보단 훨씬 많다보니 더더욱 현대 필수템이 아닐까 하는 생각을 해봅니다 리뷰 초입을 보시게되면 실리콘파워 브랜드를 과거에도 리뷰한적 있는 브랜드이며 굉장히 빠르고 안정적인 명품 추억보관소로 유명한 사는 첨단 생산지를 갖춰 메모리카드를 비롯해 등 다양한 제품들을 직접 생산 및 판매하는 혁시적인 기술을 가진 친환경 기업이죠 글로벌한 수상경력을 베이스로 각자의 소중한 추억들을 보관할 수 있게 세계 각 85개국으로 제품들을 수출하고 있으며 다양한 피드백을 통해 혁신적인 저장장치를 만들기 위해 끊임없이 노력하고 있는 브랜드라 할 수 있습니다 브랜드의 캐치플레이즈이를 기반으로 스토리지를 개발하고 있으니 실리콘파워라는 브랜드가 추억과 기억들을 얼마나 중요시하며 제품을 생산하는 기업인지 조금이나마 가늠이 되는듯한 생각이 듭니다 언박싱 및 구성품 종이패키지를 언박싱하면 내부에는 투명 플라스틱 케이스가 외부의 충격이나 스크래치로부터 제품을 잘 보호해주고 있는 모습을 볼 수 있으며 마이크로 카드와 함께 어댑터도 제공되니 이 부분은 장점이라 볼 수 있습니다 구성품은 이렇게 마이크로 메모리 카드 전용 어댑터로 구성되어 있으며 별다른 메뉴얼이나 설명은 존재하지 않습니다 간단하게 스토리지 즉 저장공간이기 때문에 스마트 디바이스 내부에 장착하고난 이후부터는 데이터들을 저장만 하기 때문이죠 특장점 카드의 디자인과 사이즈는 전세계가 공통적으로 사용하는 폼펙터이기 때문에 기타 다른 브랜드의 제품들과 거의 똑같은 디자인을 가지고 있으며 정식 명칭은 64의 용량을 가지고 있는 실리콘파워 10 1 3 30 2 입니다 1 3 30 2 메모리 카드는 최대 256용량을 지원하며 전송속도는 최대 읽기 100 최대 쓰기 80에 해당하는 스펙을 잘 보여줍니다 64의 용량으로 전용 어댑터에 장착해서 사용할 수 있으며 1 3 메모리카드의 속도 표기 규격 중 하나로 최대 전송속도를 의미하며 1은 104까지 지원 2는 312 3는 624의 초당 속도를 의미하죠 본인이 사용해야할 스마트 디바이스의 특성과 성질을 잘 알고 있으면 마이크로 카드를 선택시 조금 더 수월해지며 사실상 는 숫자에 불과하고 구매시에는 메모리카드의 최소한의 속도를 보장한다는 의미를 가진 1 2 3를 잘 구분해서 구매하는것을 추천드리죠 메모리카드는 그러한 부분에 있어서 1만원대의 가격대비 정말 괜찮은 스펙을 가지고 있는 제품으로 저는 카메라카드용으로 선택을 했으며 특히나 영상쓰기속도 부분에 있어서 30 등급을 가지고 있기 때문에 고화질 4 화질로 촬영이 충분히 가능해 큰 고민없이 만족하며 사용하고 있습니다 충격보호는 물론 데이터보호 기능과 일반적인 생활방수기능이 탑재되어 있으며 기능이 내장되어 일반적인 데이터 읽기 및 쓰기 사용시 발생할 수 있는 오류를 자동으로 검사 및 수정할 수 있어 파일이 깨지거나 오류없이 안정적인 전송을 할 수 있는 장점이 있죠 실사용 여러 디바이스 중 단연 스마트폰의 외장 메모리용량을 늘리시는것이 가장 보편적으로 사용하시는 부분인것 같으며 고사양 앱 구동 지원도 가능한 마이크로 카드는 일반적인 온도에서는 물론 발열이 심한 온도인 70도까지 충분히 잘 버텨주는 장점이 있죠 5살 아들 로운이와 3살 딸 소민이를 위해 얼마전 구매해준 태블릿인데 5살 로운이는 모바일 게임들을 엄청나게 인스톨해서 사실상 기존 내장 메모리용량 64가 현재는 모자란 상태에서 더 확장을 시켜줘야 하는 상황이라 이럴때 가장 절실하게 필요한 아이템이죠 카드 슬롯이 존재하는 블루투스 스피커나 일반적인 스피커에도 3파일을 넣고 수시로 음악을 감상할 수 있으며 굳이 블루투스 페어링을 하지 않더라도 굉장히 편안하게 사용이 가능하다는 장점들도 존재합니다 4 60 컨텐츠를 지원해 고화질 촬영이 가능한 카메라카드는 물론 6 액션캠카드로도 당연히 사용이 가능하며 아이들의 성장과정과 여행이나 외출시 아이들의 추억을 보관해주기 위해 꼭 필요한 필수템으로 기업의 캐치플레이즈와도 참 잘맞는단 생각이 드네요 일상적인 부분들에서도 충분히 사용이 가능하며 10 3 30 2 메모리카드만의 안정적이면서도 빠른 전송속도 덕분에 아이들과의 행복한 순간들을 저장할 수 있는 1당 171원이라는 놀라운 가성비 마이크로추천 드리는 메모리카드입니다 총평 응용 프로그램 퍼포먼스 클래스 2 등급의 빠른 실행과 원활한 작동으로 방수 및 방진 기능은 물론 온도 및 선 방지 기능까지 두루 갖춘 1만원대 실리콘파워 마이크로 카드의 다양한 활용에 대한 모습들을 지켜볼 수 있었는데요 가족들과의 행복했던 추억이 담긴 사진이나 영상 또는 중요한 데이터를 이렇게 캠팩트하며 가성비 좋은 마이크로카드에 담아 간직해보는건 어떨까요 이상으로 리뷰를 모두 마치도록 하겠습니다 감사합니다
666,바이든이 공약으로 선언한 교통과 친환경 신재생 에너지 인공지능 분야가 관심이 뜨겁다고 하네요 민주당 예산 비중도 육상해상교통친환경에너지 공공주택 교육 수자원에너지 비중이 높다네요 바이든이 미국 경제를 살릴지 주목됩니다
